Count,Giants,Braves,Marlins,Mets,Phillies,Nationals,Dodgers,Rockies,Dbacks,Padres,Reds,Brewers,Pirates,Cardinals,Cubs
1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,-1,-1,1,1,-1,1,1,1,-1,1,1,-1,-1,-1,1
3,-2,-2,0,0,0,2,0,2,0,2,0,0,-2,0,2
4,-3,-1,1,1,-1,1,-1,1,1,3,1,-1,-1,-1,1
5,-3,-2,2,0,-2,1,-1,2,1,2,2,-1,-1,0,2
6,-4,-1,3,1,-3,0,0,1,0,2,1,-2,0,0,1
7,-5,-2,2,0,-2,1,-1,0,-1,0,2,-1,-1,2,2
8,-5,-3,3,0,-3,0,0,1,-1,-1,2,-2,0,3,2
9,-6,-4,2,1,-2,-1,-1,2,-2,0,3,-3,-1,4,3
10,-5,-5,3,0,-3,0,0,3,-3,-1,4,-2,0,3,2
11,-6,-6,2,1,-4,-1,1,4,-2,0,3,-3,1,2,3
12,-7,-6,1,1,-3,-1,1,3,-3,-1,4,-2,1,2,2
13,-6,-5,2,1,-4,-2,2,4,-4,-2,3,-1,0,2,1
14,-7,-4,3,0,-5,-1,1,5,-3,-1,4,-2,1,3,2
15,-8,-5,2,-1,-4,0,1,6,-4,-1,4,-1,1,4,3
16,-9,-4,1,-2,-5,1,2,7,-5,-2,5,0,0,5,4
17,-8,-5,2,-3,-4,0,1,8,-4,-1,4,1,-1,4,3
18,-7,-4,3,-2,-5,-1,2,7,-5,-2,5,2,-2,3,4
19,-7,-4,2,-3,-5,0,2,7,-6,-1,5,1,-2,3,5
20,-8,-5,1,-2,-4,1,1,8,-7,-2,6,2,-1,2,6
21,-9,-4,0,-3,-3,2,0,9,-8,-1,5,1,-2,3,7
22,-8,-3,0,-2,-4,2,1,8,-8,-1,6,1,-3,2,7
23,-9,-4,1,-3,-3,3,0,7,-7,-2,5,0,-2,3,8
24,-8,-3,0,-4,-4,2,1,8,-8,-1,4,1,-1,2,9
25,-9,-2,1,-3,-3,3,2,7,-7,-2,5,0,-2,1,10
26,-8,-1,0,-3,-4,3,3,6,-7,-2,4,-1,-2,2,10
27,-9,0,1,-4,-5,2,4,5,-6,-3,5,-2,-1,1,11
28,-8,-1,0,-5,-4,3,3,4,-5,-2,4,-1,-2,2,12
29,-8,-2,0,-6,-4,3,3,5,-4,-3,4,0,-1,1,13
30,-9,-1,-1,-7,-3,2,2,4,-5,-2,5,-1,0,0,14
31,-8,-2,-2,-6,-2,3,3,3,-6,-3,6,-2,-1,1,13
32,-9,-3,-1,-5,-1,4,2,2,-7,-4,5,-1,0,2,12
33,-10,-3,0,-6,-1,5,2,1,-6,-5,4,-1,1,2,12
34,-11,-4,-1,-5,-2,4,3,2,-7,-6,5,-3,2,3,14
35,-12,-5,-2,-6,-3,3,4,3,-6,-7,6,-4,3,4,15
36,-11,-6,-3,-7,-2,4,3,3,-7,-6,7,-5,3,4,16
37,-10,-7,-2,-8,-3,5,2,4,-8,-5,8,-6,2,5,15
38,-11,-8,-1,-7,-2,6,1,3,-7,-6,9,-7,1,4,16
39,-12,-7,0,-6,-3,5,2,4,-8,-5,8,-6,0,5,15
40,-12,-8,0,-6,-3,4,3,3,-7,-6,7,-5,-1,5,16
41,-13,-7,-1,-5,-4,3,4,2,-8,-7,8,-4,0,4,17
42,-14,-8,0,-6,-3,2,5,1,-7,-8,7,-3,-1,5,18
43,-13,-7,-1,-5,-3,3,4,1,-8,-8,7,-4,0,4,18
44,-12,-8,0,-4,-4,4,3,0,-7,-9,6,-5,1,5,19
45,-13,-7,-1,-3,-5,3,4,1,-8,-8,7,-6,2,4,18
46,-12,-8,-2,-4,-4,2,5,2,-7,-7,6,-7,3,3,17
47,-12,-8,-3,-3,-5,3,4,3,-7,-7,5,-8,2,4,18
48,-13,-7,-4,-2,-6,4,4,3,-6,-8,4,-9,1,5,19
49,-12,-6,-5,-1,-7,5,4,3,-7,-9,3,-8,0,4,20
50,-13,-5,-4,-2,-7,5,4,3,-7,-10,3,-8,0,4,21
51,-14,-4,-5,-3,-8,6,3,4,-8,-9,4,-7,-1,3,22
52,-13,-3,-6,-2,-9,5,4,3,-7,-10,5,-6,-2,2,21
53,-14,-2,-7,-1,-10,4,5,2,-6,-11,4,-5,-3,3,22
54,-15,-3,-8,0,-9,4,6,3,-7,-10,3,-6,-4,4,23
55,-14,-4,-9,1,-8,5,7,2,-8,-11,2,-6,-5,5,22
56,-15,-5,-8,2,-9,6,8,3,-9,-12,1,-5,-4,4,21
57,-15,-5,-8,2,-8,5,8,2,-9,-11,0,-3,-3,3,21
58,-14,-6,-7,3,-9,6,7,3,-10,-12,1,-4,-4,4,22
59,-13,-5,-8,2,-10,7,8,2,-11,-11,2,-5,-5,5,21
60,-12,-6,-7,3,-11,8,7,3,-12,-12,3,-4,-6,4,22
61,-13,-5,-8,2,-10,9,8,2,-11,-11,4,-5,-7,3,23
62,-14,-6,-7,3,-11,8,7,1,-10,-10,5,-6,-6,4,22
63,-15,-7,-6,2,-10,9,8,0,-9,-9,4,-5,-7,3,23
64,-14,-7,-6,2,-11,9,7,0,-8,-9,4,-4,-6,2,22
65,-13,-8,-7,3,-10,10,8,1,-9,-10,3,-5,-5,1,23
66,-14,-7,-8,4,-9,9,9,2,-10,-11,1,-4,-3,2,22
67,-15,-6,-7,5,-10,8,8,3,-9,-12,2,-3,-4,3,21
68,-16,-5,-6,4,-10,7,9,2,-10,-11,1,-3,-4,4,22
69,-15,-4,-5,3,-9,6,8,1,-11,-10,0,-4,-3,5,23
70,-16,-3,-6,2,-8,7,9,2,-10,-11,-1,-5,-2,4,24
71,-15,-2,-7,3,-9,7,10,1,-10,-12,-1,-4,-3,4,24
72,-16,-1,-8,4,-10,6,11,0,-11,-12,-2,-3,-2,3,25
73,-15,-2,-7,3,-9,7,12,-1,-12,-12,-1,-4,-3,4,24
74,-16,-2,-7,4,-10,8,13,-2,-13,-11,0,-5,-4,3,25
75,-16,-2,-6,3,-10,7,13,-2,-12,-11,1,-4,-5,2,26
76,-15,-1,-7,4,-11,8,12,-3,-13,-10,0,-5,-6,3,27
77,-16,0,-8,5,-12,7,11,-2,-12,-9,1,-6,-5,2,26
78,-15,1,-8,5,-13,8,12,-3,-13,-10,0,-6,-5,3,26
79,-14,0,-7,6,-14,7,11,-2,-12,-11,-1,-7,-6,4,27
80,-13,1,-8,7,-15,8,10,-3,-11,-12,0,-6,-7,5,26
81,-12,2,-9,6,-14,9,9,-4,-10,-13,-1,-5,-8,6,27
82,-13,2,-9,6,-14,9,9,-4,-9,-13,-1,-5,-8,7,26
83,-13,1,-10,7,-13,10,10,-3,-9,-14,-2,-6,-9,7,26
84,-12,1,-10,7,-13,10,9,-2,-10,-13,-2,-7,-9,6,27
85,-13,2,-11,6,-14,11,10,-3,-9,-14,-1,-6,-10,6,27
86,-14,1,-10,7,-15,10,11,-2,-8,-15,0,-7,-10,5,28
87,-15,0,-9,6,-16,11,10,-1,-7,-14,1,-6,-9,4,27
88,-16,-1,-8,5,-15,10,9,0,-6,-13,0,-7,-8,5,28
89,-15,-2,-9,6,-14,9,10,-1,-5,-14,1,-8,-7,4,29
90,-14,-2,-9,7,-15,10,9,-2,-6,-13,2,-8,-8,3,30
91,-15,-3,-8,8,-16,11,9,-1,-5,-14,3,-7,-9,2,30
92,-14,-2,-9,9,-17,10,10,-2,-6,-13,4,-6,-10,3,29
93,-15,-2,-10,10,-17,10,9,-1,-6,-13,3,-5,-11,3,30
94,-14,-1,-9,9,-17,11,10,-2,-7,-14,2,-4,-10,2,29
95,-15,0,-8,8,-16,10,11,-1,-8,-15,3,-5,-9,1,28
96,-16,1,-7,7,-17,11,10,0,-7,-16,2,-4,-8,0,27
97,-16,2,-8,7,-17,11,9,0,-6,-17,2,-3,-9,1,26
98,-15,1,-7,6,-16,12,8,1,-5,-18,3,-4,-10,2,27
99,-16,0,-8,7,-17,13,9,0,-6,-18,2,-5,-11,3,28
100,-16,-1,-8,6,-16,14,9,0,-7,-16,1,-4,-11,2,28
101,-17,-2,-9,5,-15,15,8,1,-6,-15,0,-5,-10,3,29
102,-18,-3,-8,4,-14,16,7,2,-5,-16,-1,-6,-11,4,30
103,-19,-4,-7,3,-13,17,8,3,-6,-17,0,-7,-10,5,29
104,-18,-4,-7,3,-13,16,7,4,-5,-18,-1,-6,-11,5,30
105,-19,-4,-7,3,-13,17,8,3,-4,-19,-2,-5,-12,4,31
106,-18,-3,-8,2,-12,18,7,2,-5,-18,-3,-4,-11,4,30
107,-19,-2,-9,1,-11,19,8,1,-4,-19,-3,-4,-11,6,30
108,-18,-1,-10,2,-12,18,9,2,-5,-20,-4,-5,-10,7,29
109,-19,0,-11,3,-13,17,10,3,-6,-19,-4,-6,-9,7,30
110,-20,-1,-10,2,-14,18,11,2,-5,-18,-3,-5,-10,6,29
111,-19,-2,-11,3,-13,18,10,2,-5,-18,-2,-4,-11,5,28
112,-20,-1,-12,2,-14,17,11,1,-4,-17,-3,-5,-10,6,29
113,-19,-2,-11,3,-15,18,10,2,-5,-18,-2,-5,-11,6,30
114,-19,-2,-12,3,-16,19,10,3,-6,-19,-1,-4,-12,5,31
115,-20,-3,-13,4,-17,20,11,2,-5,-20,0,-5,-11,6,30
116,-21,-4,-14,5,-18,21,12,3,-6,-21,1,-6,-10,7,29
117,-22,-5,-13,4,-17,20,12,4,-7,-21,2,-5,-11,8,28
118,-23,-5,-14,5,-17,19,13,4,-7,-20,1,-5,-12,9,28
119,-24,-6,-15,6,-18,18,14,4,-8,-21,2,-4,-13,10,28
120,-23,-7,-16,5,-19,19,15,5,-7,-22,2,-3,-14,11,27
121,-24,-7,-16,5,-19,19,14,6,-6,-23,3,-4,-15,11,27
122,-23,-6,-17,4,-19,19,15,5,-5,-22,2,-3,-16,10,28
123,-22,-5,-18,3,-20,20,16,4,-6,-23,1,-2,-15,11,27
124,-21,-6,-17,2,-20,20,15,5,-7,-24,0,-1,-14,12,26
125,-20,-5,-18,1,-20,20,14,5,-6,-23,0,-2,-14,12,26
126,-19,-4,-19,0,-21,21,13,6,-5,-24,-1,-1,-15,11,27
127,-20,-3,-20,-1,-22,20,14,6,-4,-25,-2,0,-14,10,28
128,-20,-4,-21,-1,-23,19,15,6,-4,-26,-3,1,-13,10,29
129,-19,-3,-22,0,-22,18,16,7,-3,-27,-4,2,-14,9,28
130,-18,-2,-21,1,-23,17,15,6,-2,-28,-3,2,-13,8,28
131,-19,-3,-22,0,-24,18,16,7,-3,-27,-4,1,-12,9,29
132,-18,-2,-22,0,-25,18,16,8,-2,-27,-3,1,-10,9,28
133,-19,-1,-21,1,-26,19,17,9,-1,-28,-4,0,-11,8,29
134,-20,-2,-22,0,-27,20,16,10,0,-27,-3,-1,-12,9,30
135,-21,-3,-22,-1,-26,19,17,9,1,-26,-3,-2,-11,8,31
136,-22,-2,-21,0,-27,20,18,10,2,-27,-2,-3,-12,7,30
137,-21,-3,-22,-1,-26,21,19,9,1,-28,-3,-2,-11,8,29
138,-20,-4,-21,0,-27,20,20,10,0,-27,-2,-1,-12,7,28
139,-21,-3,-20,1,-28,21,21,11,-1,-26,-3,-2,-11,6,27
